F11,P11
0.9000,-1.1484
0.9062,-1.0005
0.9125,-0.8837
0.9187,-0.7630
0.9250,-0.6579
0.9313,-0.5684
0.9375,-0.4866
0.9437,-0.4127
0.9500,-0.3504
0.9563,-0.2920
0.9625,-0.2375
0.9688,-0.1908
0.9750,-0.1479
0.9812,-0.1040
0.9875,-0.0659
0.9938,-0.0308
1.0000,0.0000
1.0063,0.0251
1.0125,0.0462
1.0188,0.0666
1.0250,0.0838
1.0312,0.1010
1.0375,0.1175
1.0437,0.1324
1.0500,0.1488
1.0562,0.1661
1.0625,0.1856
1.0688,0.2091
1.0750,0.2366
1.0813,0.2710
1.0875,0.3125
1.0938,0.3650
1.1000,0.4151
